"AlignmentID","t.stat","p.value","#NAME?","FDR","Metabolite_name","Adduct type"
12616,-5.0565,0.00049455,3.3058,0.88807,"w/o MS2:PFCA-unsaturated; C16HF29O2","[M-H]-"
7850,4.8321,0.00068957,3.1614,0.88807,"w/o MS2:1,3-Dipropyl-8-cyclopentylxanthine","[M-H]-"
7225,-4.7491,0.00078128,3.1072,0.88807,"w/o MS2:Ramosetron","[M-H]-"
6710,4.7267,0.00080815,3.0925,0.88807,"w/o MS2:2-Propenamide, N-(4,5-dihydro-2-thiazolyl)-3-(4-ethylphenyl)-, (2E)-","[M-H]-"
7842,-4.5764,0.0010162,2.993,0.88807,"w/o MS2:(2S)-2-[[(1S)-1-Carboxy-3-methylbutyl]carbamoylamino]glutaric acid","[M-H]-"
3052,-4.3704,0.0013982,2.8544,0.88807,"w/o MS2:N-Acetyl-DL-valine","[M-H]-"
3617,-4.3266,0.0014976,2.8246,0.88807,"w/o MS2:N-Acetylleucine","[M-H]-"
6823,-4.3181,0.0015177,2.8188,0.88807,"w/o MS2:3-Methoxy-4-hydroxyphenylglycol sulfate","[M-H]-"
7634,-4.2745,0.0016254,2.789,0.88807,"w/o MS2:N-Fructosyl isoleucine; PlaSMA ID-544","[M-H]-"
3053,-4.053,0.0023126,2.6359,0.88807,"w/o MS2:N-Acetyl-DL-valine","[M-H]-"
7220,-4.0428,0.0023507,2.6288,0.88807,"w/o MS2:Ramosetron","[M-H]-"
1501,4.0401,0.0023609,2.6269,0.88807,"w/o MS2:Pyroglutamic acid","[M-H]-"
3714,3.9758,0.0026186,2.5819,0.88807,"w/o MS2:Shikimic acid","[M-H]-"
10521,3.9444,0.0027554,2.5598,0.88807,"w/o MS2:(1S,2R,4aS,6aS,6bR,9R,10R,11R,12aR)-10,11-dihydroxy-9-(hydroxymethyl)-1,2,6a,6b,9,12a-hexamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid","[M+K-2H]-"
1444,3.9146,0.0028917,2.5388,0.88807,"w/o MS2:FT-PFCA; C3H3F3O2","[M-H]-"
5332,-3.8881,0.0030191,2.5201,0.88807,"w/o MS2:2-Deoxyribose 5-phosphate; LC-ESI-QTOF; MS2; CE","[M-H]-"
7320,-3.8691,0.0031139,2.5067,0.88807,"w/o MS2:N-(4-Bromophenyl)hydrazinecarbothioamide","[M-H]-"
4086,-3.8355,0.003289,2.4829,0.88807,"w/o MS2:4-Cyanobenzene-1-sulfonamide","[M+Na-2H]-"
10182,-3.7338,0.0038862,2.4105,0.88807,"w/o MS2:NCGC00380783-01_C24H26O9_","[M-H]-"
10184,-3.7278,0.0039247,2.4062,0.88807,"w/o MS2:NCGC00380783-01_C24H26O9_","[M-H]-"
1502,3.6785,0.0042569,2.3709,0.88807,"w/o MS2:Pyroglutamic acid","[M-H]-"
7883,-3.6597,0.0043911,2.3574,0.88807,"w/o MS2:Antibiotic TAN 1446A","[M-H]-"
7224,-3.6227,0.0046684,2.3308,0.88807,"w/o MS2:Ramosetron","[M-H]-"
3105,3.5747,0.0050561,2.2962,0.88807,"w/o MS2:N-Methyllysine","[M-H]-"
6926,-3.5365,0.0053878,2.2686,0.88807,"w/o MS2:2-(1-hydroxy-1-methoxy-3-methylbutyl)-6-methyl-5H-[1,3]dioxolo[4,5-c]pyridin-4-one","[M-H]-"
8002,-3.5118,0.0056146,2.2507,0.88807,"w/o MS2:FA 18:2+2O; PlaSMA ID-641","[M-H]-"
1260,3.5035,0.0056935,2.2446,0.88807,"w/o MS2:4-Vinylphenol","[M-H]-"
3615,-3.4944,0.0057804,2.238,0.88807,"w/o MS2:N-Acetylleucine","[M-H]-"
7840,-3.4795,0.0059261,2.2272,0.88807,"w/o MS2:(2S)-2-[[(1S)-1-Carboxy-3-methylbutyl]carbamoylamino]glutaric acid","[M-H]-"
9532,-3.4582,0.0061417,2.2117,0.88807,"w/o MS2:Unknown (carbon number 17); PlaSMA ID-1013","[M-H]-"
7637,-3.4397,0.006335,2.1983,0.88807,"w/o MS2:N-Fructosyl isoleucine; PlaSMA ID-544","[M-H]-"
7640,-3.4397,0.006335,2.1983,0.88807,"w/o MS2:N-Fructosyl isoleucine; PlaSMA ID-544","[M-H]-"
7554,-3.4166,0.0065844,2.1815,0.88807,"w/o MS2:2'-Hydroxy-.alpha.-naphthoflavone","[M-H]-"
5960,-3.4135,0.0066198,2.1792,0.88807,"w/o MS2:[(4-Chlorophenyl)sulfonyl]acetic acid","[M-H]-"
7012,3.4079,0.0066816,2.1751,0.88807,"w/o MS2:Argininosuccinic acid","[M-H]-"
8284,-3.406,0.0067027,2.1737,0.88807,"w/o MS2:N-Desethylamodiaquine","[M-H]-"
2607,-3.4056,0.0067075,2.1734,0.88807,"w/o MS2:Arabinose","[M-H]-"
10279,-3.3999,0.0067726,2.1692,0.88807,"w/o MS2:(5.beta.,8.alpha.,9.beta.,10.alpha.,13.alpha.,16.beta.)-16-Hydroxy-17-((3-methylbutanoyl)oxy)kauran-18-oic acid","[M+K-2H]-"
6798,-3.3994,0.0067776,2.1689,0.88807,"w/o MS2:N-(2-Phenoxyphenyl)methanesulfonamide","[M-H]-"
3095,-3.3785,0.0070199,2.1537,0.88807,"w/o MS2:Ala-Ala","[M-H]-"
1144,3.3255,0.0076761,2.1149,0.88807,"w/o MS2:Homoserine","[M-H]-"
3043,3.3215,0.0077285,2.1119,0.88807,"w/o MS2:2,2'-(2-Hydroxyethylazanediyl)diacetic acid","[M-H]-"
4610,-3.3204,0.0077423,2.1111,0.88807,"w/o MS2:O-Acetylsalicylhydroxamic acid","[M-H]-"
10330,3.3126,0.0078443,2.1054,0.88807,"w/o MS2:6-Sialylgalactose","[M-H]-"
7970,-3.3034,0.0079683,2.0986,0.88807,"w/o MS2:N2,N2-Dimethylguanosine","[M-H2O-H]-"
3844,3.295,0.0080818,2.0925,0.88807,"w/o MS2:6-Chloro-1H-indazole-3-carbonitrile","[M-H]-"
