"Metabolite","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1,2-Dilinoleoylglycerol",2.85392486046005,7.76949728142208,4.95653175498668,0.0003860398101507,0.00926495544361681,0.321254486508003
"INDOLE-3-ACETATE",-0.629627664435254,13.5464776089423,-3.27191727174616,0.00710297096583879,0.0443899593720327,-2.54838715127224
"OXOADIPATE",2.16202996645727,8.73206667440756,3.20690307886109,0.00799030675655567,0.0443899593720327,-2.66310047419214
"LAUROYLCARNITINE",-2.60375237321635,7.94468162500505,-3.0366527038476,0.0108831985647629,0.0443899593720327,-2.96318676819095
"N-ACETYLGLUCOSAMINE",-0.960779058678652,15.1360115804705,-3.02122774808037,0.0111925826061542,0.0443899593720327,-2.9903292720339
"1,2-Dihexadecanoyl-sn-glycero-3-phosphocholine",1.0265688250821,14.3020853329107,2.96785666752628,0.0123328338717331,0.0443899593720327,-3.08415413925983
"THIAMINE MONOPHOSPHATE",-0.391009076101698,11.5439916839531,-2.90243621546371,0.0138905259834468,0.0443899593720327,-3.1989332092429
"N-ACETYLCYSTEINE",0.437809374569779,14.3844016478829,2.70490256887494,0.0198869258160596,0.0443899593720327,-3.54332433664255
"Butanoic acid, 4-[(1,2-dioxohexadecyl)amino]-, ethyl ester",2.30199406310039,8.02465437065038,2.63986310314082,0.0223753154846629,0.0443899593720327,-3.65576266556771
"DEOXYURIDINE",1.47015395105179,11.6308786368063,2.61534940062417,0.0233907449002071,0.0443899593720327,-3.69798983527311
"TRICOSANOATE",0.50857373125987,12.9704128495499,2.59941510595672,0.0240749405996712,0.0443899593720327,-3.72539045985232
"L-CARNITINE",-0.510475797003143,11.5820409316639,-2.56231210383343,0.0257451039705399,0.0443899593720327,-3.78903967622613
"GLUTAMINE",-1.56145854007947,9.50887892311325,-2.54237306780706,0.0266890032718643,0.0443899593720327,-3.82315192219818
"N-ACETYLASPARAGINE",-1.56110231692815,9.97123407800933,-2.51003429317426,0.0282922983671697,0.0443899593720327,-3.87833261601712
"UREIDOPROPIONATE",0.301260543307943,13.8488981853775,2.50693138336897,0.0284509898851914,0.0443899593720327,-3.88361744202121
"TRYPTOPHAN",1.14751801263599,15.5360734350096,2.47448088178472,0.0301634651419416,0.0443899593720327,-3.9387800400214
"HYPOXANTHINE",0.624813019296356,12.7871559070398,2.43917611836774,0.0321405036296701,0.0443899593720327,-3.9985646454279
"INDOLE-3-METHYL ACETATE",-2.22908475043913,7.92203025417634,-2.39062026691694,0.0350661480880309,0.0443899593720327,-4.08037145102265
"OXOGLUTARATE",0.414695526160226,10.8403982106738,2.34380243544922,0.0381299796943761,0.0443899593720327,-4.15876045935996
"2,3-DIHYDROXYBENZOATE",-2.34770855171197,9.80753618408506,-2.34373623196208,0.0381344896982532,0.0443899593720327,-4.15887094952246
"THREONINE",0.26045552853473,17.9416336334387,2.33345409382762,0.0388412144505286,0.0443899593720327,-4.1760187129551
"ALLOTHREONINE",0.278677345754404,15.3070404949831,2.25986131028875,0.0442796615669705,0.0483050853457859,-4.29799062997698
"ASPARAGINE",0.282305901267579,12.1314729524394,2.20099533126997,0.0491468360565989,0.0512836550155815,-4.39452756240738
"QUINOLINATE",-0.217132266927149,10.7938679638829,-2.04750616885309,0.0643348295294845,0.0643348295294845,-4.64137156018483
