"AlignmentID","t.stat","p.value","#NAME?","FDR","Metabolite_name","Adduct type"
2086,-7.1808,2.9935e-05,4.5238,0.087648,"w/o MS2:(2-Bromo-4-tert-butylphenoxy)acetic acid","[M-H]-"
2130,5.6806,0.00020367,3.6911,0.29817,"w/o MS2:4-Guanidinobutyric acid","[M-H]-"
5796,5.2231,0.00038812,3.411,0.37881,"w/o MS2:PFAP-PAP; C10H2F21O4P","[M+Na-2H]-"
4687,3.7785,0.003611,2.4424,0.94462,"w/o MS2:[[(4-Chlorophenyl)sulfonyl](methyl)amino]acetic acid","[M+K-2H]-"
1378,-3.7221,0.0039613,2.4022,0.94462,"w/o MS2:.beta.-L-Fucose 1-phosphate","[M-H]-"
973,3.7062,0.0040665,2.3908,0.94462,"w/o MS2:3,4-Difluoro-L-phenylalanine","[M+Cl]-"
1202,-3.6653,0.004351,2.3614,0.94462,"w/o MS2:Flufenacet OXA; LC-ESI-ITFT; MS2; CE","[M-H]-"
1349,-3.5527,0.005245,2.2803,0.94462,"w/o MS2:2-(4,6-Dichloro-2-methyl-1H-indol-3-yl)ethylamine","[M-H]-"
7027,3.4001,0.0067697,2.1694,0.94462,"w/o MS2:(3.beta.,9.xi.)-3-((6-Deoxyhexopyranosyl-(1->2)hexopyranosyl-(1->3)hexopyranosyl)oxy)-14-hydroxybufa-4,20,22-trienolide","[M-H]-"
2836,3.2924,0.0081166,2.0906,0.94462,"w/o MS2:PFSM-ammonio; [C9H20F3N2O6S2]+","[M-H]-"
2605,-3.2334,0.008969,2.0473,0.94462,"w/o MS2:Thiamine monophosphate","[M-H]-"
3727,-3.2111,0.0093147,2.0308,0.94462,"w/o MS2:Fipronil sulfone","[M+Na-2H]-"
644,3.1895,0.0096625,2.0149,0.94462,"w/o MS2:2,4-Dihydroxybenzohydrazide","[M-H]-"
2934,3.1495,0.010343,1.9854,0.94462,"w/o MS2:7-Hydroxynaphthalene-1,3,6-trisulfonic acid","[M-H]-"
1777,3.1242,0.010797,1.9667,0.94462,"w/o MS2:gamma-Glutamylglutamine","[M+Cl]-"
188,3.0575,0.012095,1.9174,0.94462,"w/o MS2:Maleamic acid","[M+Na-2H]-"
