"AlignmentID","t.stat","p.value","#NAME?","FDR","Metabolite_name","Adduct type"
1670,-4.9452,0.00058267,3.2346,0.99991,"w/o MS2:L-Pipecolic acid","[M+H]+"
3336,4.712,0.00082645,3.0828,0.99991,"w/o MS2:2-Chloro-4-(difluoromethoxy)pyridine","[M+H]+"
15241,4.6768,0.00087177,3.0596,0.99991,"w/o MS2:1,2-Dilinoleoylglycerol","[M+H]+"
4510,4.1463,0.0019917,2.7008,0.99991,"w/o MS2:Unknown (carbon number 10); PlaSMA ID-807","[M+H]+"
2730,3.643,0.0045145,2.3454,0.99991,"w/o MS2:(R)-Aminocarnitine","[M+H]+"
9657,3.6099,0.0047689,2.3216,0.99991,"w/o MS2:5.alpha.-Hydroxy-6-ketocholesterol","[M+H]+"
1104,-3.4871,0.0058517,2.2327,0.99991,"w/o MS2:4-Hydroxyhexenal","[M+H]+"
21527,-3.4161,0.0065907,2.1811,0.99991,"w/o MS2:Simvastatin 2M+NH4","[M+H]+"
16009,3.4122,0.0066332,2.1783,0.99991,"w/o MS2:MLS002153946-01!Tetrandrine","[M+H]+"
7149,3.404,0.0067253,2.1723,0.99991,"w/o MS2:(9Z,12E)-15,16-Dihydroxyoctadeca-9,12-dienoic acid","[M+H]+"
4743,3.395,0.0068286,2.1657,0.99991,"w/o MS2:Indalone","[M+H-H2O]+"
7881,-3.3732,0.0070833,2.1498,0.99991,"w/o MS2:Biotin N-hydroxysuccinimide ester","[M+H]+"
3228,-3.3103,0.007876,2.1037,0.99991,"3-Indoleacetic acid","[M+H]+"
6263,3.2999,0.0080155,2.0961,0.99991,"w/o MS2:Linoleic acid","[M+H]+"
8548,3.2586,0.0085949,2.0658,0.99991,"w/o MS2:17,20-Dimethylprostaglandin F1.alpha.","[M+H]+"
9368,3.1878,0.0096905,2.0137,0.99991,"w/o MS2:pentacosanoic acid","[M+H]+"
