"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID"
"ABL1",-0.338410563876651,7.02701303417017,-4.24555706470508,0.000132769179784345,0.0166977738634856,1.03741298792021,"25"
"ADGRE5",-0.43225509520264,11.9293741914536,-3.80054447636984,0.00050081672425094,0.0286162776319088,-0.159338796721944,"976"
"ANXA1",0.586129975716333,11.2229301435811,4.10921606885089,0.000200373286361827,0.0166977738634856,0.665738202530287,"301"
"APP",-0.498420764996456,8.96321963992351,-3.69901006870343,0.000673282247670923,0.0286162776319088,-0.425034617128352,"351"
"ATF2",0.225736674823288,9.06968336324445,4.17452870110599,0.000164598299822599,0.0166977738634856,0.843285973593757,"1386"
"ATG5",0.360761027326659,7.91968835198597,3.63045008813479,0.000820824880053256,0.0293151742876163,-0.602657188435129,"9474"
"BATF",0.30251315542787,6.50183782515671,3.02396616671258,0.0044234142690683,0.0721208848217657,-2.09983721486324,"10538"
"BID",0.291743937071983,6.80119856256509,2.78363584227381,0.00828555619176271,0.0986375737114609,-2.64931615716787,"637"
"BMI1",0.239382985058036,7.76893262022254,2.81381012118345,0.00766851372224003,0.0974811066386445,-2.58189242438609,"648"
"BTLA",0.399836596436326,8.84611859908381,3.53684940748549,0.00107333558457702,0.0335417370180318,-0.842690585691868,"151888"
"CD163",-0.702041310726441,6.67335204054925,-3.66309498928975,0.000747052825396822,0.0286162776319088,-0.518267129817337,"9332"
"CD164",0.275837010054149,10.4692809831426,3.05017303600062,0.0041246381712303,0.068743969520505,-2.03825998632175,"8763"
"CD2",0.247022478922948,7.81278026740121,2.82509827418013,0.00744888372443922,0.096321772298783,-2.55655010701299,"914"
"CD37",-0.291321212457716,8.34182005447581,-3.15511732099998,0.00310852035437768,0.0582847566445815,-1.7886067084312,"951"
"CD3D",0.521373466353609,10.0256551658164,3.90315273640147,0.000370311789057029,0.0232515628714414,0.112179286699323,"915"
"CD4",-0.362314675352617,9.6044025431107,-3.20789441640623,0.00269197017662285,0.0560827120129761,-1.66125695383126,"920"
"CD47",0.26078212264194,10.8050182845965,3.6703235048083,0.000731604670227373,0.0286162776319088,-0.499534962903401,"961"
"CD48",0.434658042726598,10.1674849368916,3.33130330303883,0.00191510781743926,0.043525177669074,-1.35901203440066,"962"
"CD5",-0.270734499787712,9.20784864811515,-2.97816375591496,0.00499506476692061,0.0780478869831346,-2.20669900690777,"921"
"CD58",0.416707194400124,10.0397245899113,4.53528570006545,5.4723267013788e-05,0.0139395733080033,1.83918618350732,"965"
"CD7",-0.395467802675985,8.39204837698402,-4.14331577475022,0.000180839966693459,0.0166977738634856,0.758318051989887,"924"
"CD74",-0.319616901830123,12.6627806419164,-3.089933582074,0.00370743476488035,0.0662041922300063,-1.94424458876965,"972"
