"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","CD Name","FullName","Gene Class","Cell Type","IR Type","Immune Response Category","Annotation"
"ABL1",-0.338410563876651,7.02701303417017,-4.24555706470508,0.00013276917978434,0.0166977738634856,1.03741298792021,25,NA,"c-abl oncogene 1, non-receptor tyrosine kinase","Immune Response",NA,NA,"Cell Cycle, Regulation, Senescence","Regulation of cell cycle, S phase and DNA replication, Senescence initiators"
"ADGRE5",-0.43225509520264,11.9293741914536,-3.80054447636984,0.00050081672425094,0.0286162776319088,-0.159338796721944,976,NA,NA,NA,NA,NA,NA,NA
"ANXA1",0.586129975716333,11.2229301435811,4.10921606885089,0.00020037328636182,0.0166977738634856,0.665738202530287,301,NA,"annexin A1","Immune Response",NA,NA,"Transporter Functions","Phagocytosis recognition and engulfment"
"APP",-0.498420764996456,8.96321963992351,-3.69901006870343,0.00067328224767092,0.0286162776319088,-0.425034617128352,351,NA,"amyloid beta (A4) precursor protein","Immune Response",NA,"I",NA,"Innate immune response"
"ATF2",0.225736674823288,9.06968336324445,4.17452870110599,0.00016459829982259,0.0166977738634856,0.843285973593757,1386,NA,"activating transcription factor 2","Immune Response",NA,"I",NA,"Innate immune response"
"ATG5",0.360761027326659,7.91968835198597,3.63045008813479,0.00082082488005325,0.0293151742876163,-0.602657188435129,9474,NA,"autophagy related 5","Immune Response",NA,"I",NA,"Innate immune response"
"BATF",0.30251315542787,6.50183782515671,3.02396616671258,0.0044234142690683,0.0721208848217657,-2.09983721486324,10538,NA,"basic leucine zipper transcription factor, ATF-like","Immune Response - Cell Type specific",NA,NA,"Cell Functions","Basic cell functions, Cell Type specific"
"BID",0.291743937071983,6.80119856256509,2.78363584227381,0.00828555619176271,0.0986375737114609,-2.64931615716787,637,NA,"BH3 interacting domain death agonist","Immune Response",NA,NA,"Cell Cycle, Regulation","Co-Regulators of autophagy and apoptosis/cell cycle"
"BMI1",0.239382985058036,7.76893262022254,2.81381012118345,0.00766851372224003,0.0974811066386445,-2.58189242438609,648,NA,"BMI1 polycomb ring finger oncogene","Immune Response",NA,"H",NA,"Humoral immune response"
"BTLA",0.399836596436326,8.84611859908381,3.53684940748549,0.00107333558457702,0.0335417370180318,-0.842690585691868,151888,"CD272","B and T lymphocyte associated","Immune Response - Checkpoint",NA,NA,"Cell Functions","Basic cell functions, CD molecules"
"CD163",-0.702041310726441,6.67335204054925,-3.66309498928975,0.00074705282539682,0.0286162776319088,-0.518267129817337,9332,"CD163","CD163 molecule","Immune Response","Macrophages",NA,"Transporter Functions","CD molecules, Phagocytosis"
"CD164",0.275837010054149,10.4692809831426,3.05017303600062,0.0041246381712303,0.068743969520505,-2.03825998632175,8763,"CD164","CD164 molecule, sialomucin","Immune Response",NA,NA,NA,"CD molecules"
"CD2",0.247022478922948,7.81278026740121,2.82509827418013,0.00744888372443922,0.096321772298783,-2.55655010701299,914,"CD2","CD2 molecule","Immune Response - Cell Type specific",NA,NA,"NK Cell Functions, T-Cell Functions","Cell Type specific, CD molecules, Leukocyte migration, T-cell activation, T-cell differentiation"
"CD37",-0.291321212457716,8.34182005447581,-3.15511732099998,0.00310852035437768,0.0582847566445815,-1.7886067084312,951,"CD37","CD37 molecule","Immune Response",NA,"A",NA,"Adaptive immune response, CD molecules"
"CD3D",0.521373466353609,10.0256551658164,3.90315273640147,0.00037031178905702,0.0232515628714414,0.112179286699323,915,"CD3D","CD3d molecule, delta (CD3-TCR complex)","Immune Response","T-cells","A","Regulation","Adaptive immune response, CD molecules, Regulation of immune response"
"CD4",-0.362314675352617,9.6044025431107,-3.20789441640623,0.00269197017662285,0.0560827120129761,-1.66125695383126,920,"CD4","CD4 molecule","Immune Response",NA,"A;I",NA,"Adaptive immune response, CD molecules, Innate immune response"
"CD47",0.26078212264194,10.8050182845965,3.6703235048083,0.00073160467022737,0.0286162776319088,-0.499534962903401,961,"CD47","CD47 molecule","Immune Response",NA,NA,"Macrophage Functions, Regulation, T-Cell Functions, Transporter Functions","CD molecules, Phagocytosis recognition and engulfment, Regulators of T-cell activation"
"CD48",0.434658042726598,10.1674849368916,3.33130330303883,0.00191510781743926,0.043525177669074,-1.35901203440066,962,"CD48","CD48 molecule","Immune Response",NA,NA,NA,"CD molecules"
"CD5",-0.270734499787712,9.20784864811515,-2.97816375591496,0.00499506476692061,0.0780478869831346,-2.20669900690777,921,"CD5","CD5 molecule","Immune Response",NA,"A","B-Cell Functions, Regulation, T-Cell Functions","Adaptive immune response, CD molecules, Regulators of Th1 and Th2 development"
"CD58",0.416707194400124,10.0397245899113,4.53528570006545,5.4723267013788e-05,0.0139395733080033,1.83918618350732,965,"CD58","CD58 molecule","Immune Response",NA,"A",NA,"Adaptive immune response, CD molecules"
"CD7",-0.395467802675985,8.39204837698402,-4.14331577475022,0.00018083996669345,0.0166977738634856,0.758318051989887,924,"CD7","CD7 molecule","Immune Response",NA,"A","NK Cell Functions, Regulation, T-Cell Functions","Adaptive immune response, CD molecules, Regulators of T-cell activation, Regulators of Th1 and Th2 development"
"CD74",-0.319616901830123,12.6627806419164,-3.089933582074,0.00370743476488035,0.0662041922300063,-1.94424458876965,972,"CD74","CD74 molecule, major histocompatibility complex, class II invariant chain","Immune Response",NA,"A",NA,"Adaptive immune response, CD molecules"
"CSF1",-0.445098327754293,5.665347085637,-3.14030038109731,0.00323602182622374,0.05919552121141,-1.82414677207323,1435,NA,"colony stimulating factor 1 (macrophage)","Immune Response",NA,"I",NA,"Innate immune response"
"GPI",-0.299420917808875,8.5529490856746,-3.72376167716923,0.00062659045638984,0.0286162776319088,-0.360549340521678,2821,NA,"glucose-6-phosphate isomerase","Immune Response",NA,"H",NA,"Humoral immune response"
"HLA-A",-0.297936166422807,14.3381059286481,-2.95758846298516,0.00527384436400474,0.0807221076123175,-2.25438437467275,3105,NA,NA,NA,NA,NA,NA,NA
"HLA-B",-0.390063389444567,14.7357986420175,-4.14049025123348,0.00018238521149604,0.0166977738634856,0.750636954306582,3106,NA,NA,NA,NA,NA,NA,NA
"HLA-E",-0.265820691805035,13.6000743055979,-3.33989153105966,0.00186987561667298,0.043525177669074,-1.33775355066317,3133,NA,NA,NA,NA,NA,NA,NA
"HMGB1",0.349846225306796,9.51688169897248,3.29260586175477,0.00213218116303798,0.0456895963508139,-1.45444302234829,3146,NA,"high mobility group box 1","Immune Response",NA,"F;I","Regulation","Inflammatory response to antigenic stimulus, Innate immune response"
"IFNGR1",0.299140777304444,10.7856286688277,2.88416588520925,0.00639217114240595,0.0904552520151785,-2.42289931369801,3459,"CD119","interferon gamma receptor 1","Immune Response",NA,"I","Cell Functions","Adaptive immune response, CD molecules, Innate immune response, Th1 orientation"
"IGF2R",-0.549459474617836,10.0841721945205,-3.29426986628383,0.00212238315329444,0.0456895963508139,-1.45035158126601,3482,"CD222","insulin-like growth factor 2 receptor","Immune Response",NA,NA,NA,"CD molecules"
"IL17RA",-0.35980027588902,10.4579702377545,-2.85020748596495,0.00698119414826739,0.0951981020218281,-2.49994866231494,23765,"CD217","interleukin 17 receptor A","Immune Response - Cell Type specific",NA,NA,"Cell Functions","Basic cell functions, Cell Type specific, CD molecules"
"IL2RB",-0.421611796318891,8.19579939263231,-2.80253773841981,0.00789384217132802,0.0986010521938301,-2.60713475972192,3560,"CD122","interleukin 2 receptor, beta","Immune Response",NA,"A","Cytokines","Adaptive immune response, CD molecules, Cytokines and receptors"
"IL6R",-0.351284862789579,9.72038305960589,-2.78737716316681,0.00820661657069143,0.0986375737114609,-2.6409815959258,3570,"CD126","interleukin 6 receptor","Immune Response",NA,NA,"Cytokines","Acute-phase response, CD molecules, Cytokines and receptors"
"INPP5D",-0.234921665629892,10.5723120226505,-3.41130829475737,0.00153128708211441,0.0396022521236486,-1.15988582935501,3635,NA,"inositol polyphosphate-5-phosphatase, 145kDa","Immune Response",NA,NA,"Regulation","Negative regulation of immune response"
"ITGA2B",-1.22250429914191,8.02820310438139,-3.69839116860915,0.00067449177177041,0.0286162776319088,-0.426644626561063,3674,"CD41","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","Immune Response",NA,NA,"Adhesion","Adhesion, CD molecules"
"ITGA5",-0.379668940045328,9.80986187185849,-3.60768803445794,0.00087636617284712,0.0298761195288794,-0.661296038848436,3678,"CD49e","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","Immune Response",NA,"I","Adhesion","Adhesion, CD molecules, Innate immune response"
